"id","date","year","month","day","week","dow","time","hour","is_night","type","address","city","segment_id","nbrhood","community","comm_pop","council","coun_pop","asr_zone","lampdist","lat","lon","desc","gctype","gcquality"
"","2008-03-17",2008,3,2998,11,1,"21:30:00",21,1,"MOTOR VEHICLE THEFT","13000  Block Cadencia Place","SndSAN",175840,"SanCAR","SanPAC",6507,"San001",147305,1,12000,32.9609249931,-117.184751415,"TAKE VEHICLE W/O OWNER'S CONSENT/VEHICLE THEFT","cns/segment",54
"","2008-09-03",2008,9,3168,35,3,"23:08:00",23,1,"DRUGS/ALCOHOL VIOLATIONS","4200  Block University Avenue","SndSAN",35680,"SanCAS","SanMDC",74062,"San009",145045,6,1000,32.7496402906,-117.104147689,"DISORDERLY CONDUCT:  ALCOHOL","cns/segment",65
"","2009-08-01",2009,8,3500,30,6,"22:07:00",22,1,"DRUGS/ALCOHOL VIOLATIONS","4900  Block El Cajon Boulevard","SndSAN",26068,"SanCLN","SanMDC",74062,"San009",145045,6,1414,32.7565349132,-117.088721827,"POSSESS MARIJUANA 28.5 GRAMS OR LESS OR W/NO PRIOR","cns/segment",65
"","2012-01-08",2012,1,4390,1,0,"05:40:00",5,1,"DUI","4700  Block Home Avenue","SndSAN",35876,"SanSWA","SanMDC",74062,"San009",145045,4,5000,32.7358888792,-117.092596309,"DUI ALCOHOL AND/OR DRUGS","cns/segment",65
"","2007-03-23",2007,3,2638,12,5,"16:10:00",16,0,"DRUGS/ALCOHOL VIOLATIONS","1600  Block Island Avenue","SndSAN",38191,"SanEAS","SanDOW",31759,"San003",147116,6,1414,32.7104521849,-117.14899787,"POSSESS NARCOTIC CONTROLLED SUBSTANCE","cns/segment",65
"","2007-10-05",2007,10,2834,40,5,"08:00:00",8,0,"FRAUD","4400  Block 32Nd Street","SndSAN",4410,"SanNRM","SanMDS",15748,"San003",147116,3,8000,32.7581531915,-117.125022022,"FRAUD","cns/segment",65
"","2012-11-09",2012,11,4696,45,5,"10:30:00",10,0,"DRUGS/ALCOHOL VIOLATIONS","4700  Block Pacific Highway","SndSAN",130801,"SanCAR","SanCAR",33580,"San001",147305,1,5000,32.950292515,-117.205229664,"POSSESS CONTROLLED SUBSTANCE","cns/segment",40
"","2010-04-03",2010,4,3745,13,6,"16:00:00",16,0,"BURGLARY","8500  Block Miralani Drive","SndSAN",82178,"SanMIA","SanMIR",72761,"San006",140738,7,2236,32.8958358463,-117.140340347,"COMMERCIAL BURGLARY","cns/segment",65
"","2011-03-28",2011,3,4104,13,1,"14:30:00",14,0,"BURGLARY","3000  Block Reynard Way","SndSAN",54953,"SanPRK","SanUPT",37279,"San003",147116,1,2000,32.7362363811,-117.169717432,"RESIDENTIAL BURGLARY","cns/segment",65
"","2011-02-07",2011,2,4055,6,1,"22:31:00",22,1,"DRUGS/ALCOHOL VIOLATIONS","4000  Block North Harbor Drive","SndSAN",151484,"SanIDW","SanRES",61,"San002",142456,6,12000,32.7292252587,-117.206657171,"POSSESS MARIJUANA 1 OZ OR  LESS WHILE DRIVING","cns/segment",65
"","2008-08-25",2008,8,3159,34,1,"20:00:00",20,1,"MOTOR VEHICLE THEFT","6900  Block Alcona Street","SndSAN",72796,"SanBAT","SanSKY",67273,"San004",142911,2,7211,32.686911184,-117.044281,"TAKE VEHICLE W/O OWNER'S CONSENT/VEHICLE THEFT","cns/segment",65
"","2011-03-24",2011,3,4100,12,4,"11:30:00",11,0,"VANDALISM","8300  Block Clairemont Mesa Boulevard","SndSAN",157572,"SanKER","SanKER",6417,"San006",140738,7,5099,32.8328087698,-117.144678818,"VANDALISM ($400 OR MORE)","cns/segment",65
"","2011-03-21",2011,3,4097,12,1,"16:55:00",16,0,"DRUGS/ALCOHOL VIOLATIONS","4400  Block Nimitz Boulevard","SndSAN",43513,"SanPON","SanPEN",38269,"San002",142456,4,4000,32.748864412,-117.234984863,"OPEN CONTAINER IN PUBLIC PARK","cns/segment",65
"","2007-09-01",2007,9,2800,35,6,"00:00:00",0,1,"THEFT/LARCENY","600  Block 51St Street","SndSAN",177665,"SanEMR","SanENC",47361,"San004",142911,2,3000,32.7118609597,-117.084400001,"PETTY THEFT / THEFT OF PERSONAL PROPERTY / SHOPLIFT","cns/segment",65
"","2010-03-04",2010,3,3715,9,4,"08:00:00",8,0,"VANDALISM","6900  Block Murray Park Drive","SndSAN",48395,"SanSNC","SanNAV",48313,"San007",147442,1,2236,32.7925432748,-117.047381258,"VANDALISM ($400 OR MORE)","cns/segment",65
"","2007-11-08",2007,11,2868,45,4,"00:01:00",0,1,"VEHICLE BREAK-IN/THEFT","8200  Block Santa Arminta Avenue","SndSAN",69044,"SanMIR","SanMIR",72761,"San006",140738,1,2000,32.9292285493,-117.146885397,"VEHICLE BREAK-IN/THEFT","cns/segment",65
"","2009-11-25",2009,11,3616,47,3,"10:37:00",10,0,"BURGLARY","6600  Block Jackson Drive","SndSAN",38552,"SanLAK","SanNAV",48313,"San007",147442,1,2236,32.7947336632,-117.026097237,"RESIDENTIAL BURGLARY","cns/segment",65
"","2009-01-09",2009,1,3296,1,5,"19:00:00",19,1,"VEHICLE BREAK-IN/THEFT","6500  Block Jaffe Court","SndSAN",43679,"SanLAK","SanNAV",48313,"San007",147442,1,1414,32.8026371155,-117.00843066,"VEHICLE BREAK-IN/THEFT","cns/segment",65
"","2010-02-17",2010,2,3700,7,3,"21:55:00",21,1,"DRUGS/ALCOHOL VIOLATIONS","3500  Block El Cajon Boulevard","SndSAN",26043,"SanNRM","SanMDS",15748,"San003",147116,6,1414,32.7552341924,-117.117638725,"SELL/FURNISH/GIVE/TRANSPORT/ETC MARIJUANA OVER 28.5 GRAMS","cns/segment",65
"","2009-06-29",2009,6,3467,26,1,"14:10:00",14,0,"VANDALISM","5200  Block Soledad Mtn Road","SndSAN",58760,"SanPCF","SanPCF",39849,"San002",142456,1,5000,32.8138971125,-117.233032901,"VANDALISM ($400 OR MORE)","cns/segment",65
"","2008-09-04",2008,9,3169,35,4,"05:02:00",5,1,"DRUGS/ALCOHOL VIOLATIONS","4500  Block Kansas Street","SndSAN",39682,"SanNRT","SanGRE",45697,"San003",147116,3,9055,32.7600851844,-117.131423321,"OPEN CONTAINER IN PUBLIC PARK","cns/segment",65
"","2007-01-29",2007,1,2585,5,1,"09:00:00",9,0,"BURGLARY","10800  Block Via Los Narcisos","SndSAN",72502,"SanRNC","SanRNC",42779,"San005",143957,3,12000,32.9724301945,-117.094699687,"RESIDENTIAL BURGLARY","cns/segment",65
"","2007-08-05",2007,8,2773,31,0,"20:15:00",20,1,"DRUGS/ALCOHOL VIOLATIONS","1000 S  Block 38Th Street","SndSAN",4867,"SanSTH","SanSOT",57358,"San009",145045,6,2236,32.695770893,-117.112458962,"USE/UNDER INFLUENCE OF CONTROLLED SUBSTANCE","cns/segment",65
"","2008-09-23",2008,9,3188,38,2,"11:00:00",11,0,"THEFT/LARCENY","6000  Block Sierra View Way","SndSAN",58244,"SanDLC","SanNAV",48313,"San007",147442,1,10440,32.788437215,-117.05991039,"GRAND THEFT:MONEY/LABOR/PROPERTY OVER $400","cns/segment",65
"","2008-07-10",2008,7,3113,27,4,"21:15:00",21,1,"THEFT/LARCENY","2400  Block Coronado Avenue","SndSAN",20089,"SanPON","SanPEN",38269,"San002",142456,1,9219,32.7323953319,-117.23808051,"PETTY THEFT / THEFT OF PERSONAL PROPERTY / SHOPLIFT","cns/segment",41
"","2010-06-22",2010,6,3825,25,2,"12:48:00",12,0,"ASSAULT","4900  Block Voltaire Street","SndSAN",63622,"SanOCN","SanOCN",12953,"San002",142456,1,1000,32.7514756694,-117.245752423,"BATTERY WITH SERIOUS BODILY INJURY","cns/segment",65
"","2011-04-16",2011,4,4123,15,6,"02:33:00",2,1,"DUI","4800  Block Ocean View Hills Parkway","SndSAN",49951,"SanLNC","SanENC",47361,"San004",142911,0,2236,32.7004458134,-117.091817548,"DUI ALCOHOL AND/OR DRUGS","cns/segment",65
"","2012-11-20",2012,11,4707,47,2,"20:30:00",20,1,"ASSAULT","3700  Block Altadena Avenue","SndSAN",7532,"SanCHL","SanMDC",74062,"San009",145045,4,5099,32.7465105414,-117.085300918,"BATTERY WITH SERIOUS BODILY INJURY (F)","cns/segment",65
"","2007-09-01",2007,9,2800,35,6,"00:24:00",0,1,"DRUGS/ALCOHOL VIOLATIONS","3200  Block Gleason Road","SndSAN",103583,"SanMSH","SanMIS",2076,"San002",142456,0,2000,32.7713649426,-117.246709711,"OPEN CONTAINER IN PUBLIC PARK","cns/segment",65
"","2012-11-08",2012,11,4695,45,4,"19:30:00",19,1,"VANDALISM","6200  Block Agee Street","SndSAN",6802,"SanNUV","SanUNV",63098,"San001",147305,1,7810,32.8524782635,-117.200910622,"VANDALISM (LESS THAN $400)","cns/segment",65
"","2012-04-22",2012,4,4495,16,0,"01:00:00",1,1,"THEFT/LARCENY","700  Block E Street","SndSAN",25430,"SanCOR","SanDOW",31759,"San003",147116,7,1000,32.7146692949,-117.157880869,"PETTY THEFT / THEFT OF PERSONAL PROPERTY / SHOPLIFT","cns/segment",65
"","2012-07-13",2012,7,4577,28,5,"16:40:00",16,0,"THEFT/LARCENY","3300  Block Murphy Canyon Road","SndSAN",35221,"SanSER","SanKER",6417,"San007",147442,9,7071,32.8035283617,-117.113759101,"PETTY THEFT / THEFT OF PERSONAL PROPERTY / SHOPLIFT","cns/segment",65
"","2011-01-10",2011,1,4027,2,1,"01:20:00",1,1,"DRUGS/ALCOHOL VIOLATIONS","4600  Block Del Sol Boulevard","SndSAN",162190,"SanOEC","SanOTM",15140,"San008",144830,1,1000,32.5715037089,-117.034760465,"POSSESS MARIJUANA 28.5 GRAMS OR LESS OR W/NO PRIOR","cns/segment",65
"","2008-08-08",2008,8,3142,31,5,"23:45:00",23,1,"VEHICLE BREAK-IN/THEFT","3800  Block Edna Place","SndSAN",25922,"SanNRM","SanMDS",15748,"San003",147116,3,5385,32.7622669395,-117.111852704,"VEHICLE BREAK-IN/THEFT","cns/segment",65
"","2007-07-13",2007,7,2750,28,5,"08:00:00",8,0,"THEFT/LARCENY","4200  Block 04Th Avenue","SndSAN",1203,"SanHIL","SanUPT",37279,"San003",147116,4,5000,32.7542186844,-117.16138106,"PETTY THEFT","cns/segment",65
"","2009-09-17",2009,9,3547,37,4,"06:00:00",6,1,"MOTOR VEHICLE THEFT","3200  Block Bramson Place","SndSAN",13505,"SanCRR","SanMDC",74062,"San009",145045,6,5385,32.7542867161,-117.122986497,"TAKE VEHICLE W/O OWNER'S CONSENT/VEHICLE THEFT","cns/segment",65
"","2009-10-29",2009,10,3589,43,4,"02:00:00",2,1,"BURGLARY","3700  Block Cam Del Rio South","SndSAN",15247,"SanSSI","SanMSS",18947,"San003",147116,6,12000,32.7779128533,-117.116582847,"COMMERCIAL BURGLARY","cns/segment",65
"","2010-03-30",2010,3,3741,13,2,"17:30:00",17,0,"VEHICLE BREAK-IN/THEFT","7200  Block Primrose Lane","SndSAN",163079,"SanTRR","SanTRR",7725,"San005",143957,1,1000,32.9617933331,-117.163645394,"VEHICLE BREAK-IN/THEFT","cns/segment",65
"","2012-09-23",2012,9,4649,38,0,"16:45:00",16,0,"ASSAULT","5500  Block Streamview Drive","SndSAN",59659,"SanRED","SanMID",37348,"San004",142911,1,2236,32.7425694412,-117.076008891,"ASSAULT W/DEADLY WEAPON OTHER THAN FIREARM OR GBI FORCE","cns/segment",65
"","2012-07-17",2012,7,4581,29,2,"17:50:00",17,0,"DRUGS/ALCOHOL VIOLATIONS","5000  Block Del Monte Avenue","SndSAN",24100,"SanOCN","SanOCN",12953,"San002",142456,4,5000,32.7446904129,-117.253831718,"POSSESS MARIJUANA 28.5 GRAMS OR LESS OR W/NO PRIOR","cns/segment",65
"","2007-03-19",2007,3,2634,12,1,"01:00:00",1,1,"BURGLARY","3800  Block University Avenue","SndSAN",35676,"SanCHE","SanMDC",74062,"San009",145045,6,1000,32.7497028119,-117.111560674,"COMMERCIAL BURGLARY","cns/segment",65
"","2012-09-18",2012,9,4644,38,2,"15:25:00",15,0,"FRAUD","3500  Block National Avenue","SndSAN",48853,"SanSTH","SanSOT",57358,"San009",145045,6,1000,32.6960004766,-117.117824515,"FRAUD","cns/segment",65
"","2009-03-04",2009,3,3350,9,3,"22:00:00",22,1,"VEHICLE BREAK-IN/THEFT","2600  Block Mission Boulevard","SndSAN",139077,"SanMSH","SanMSH",4659,"San002",142456,1,1000,32.7598310258,-117.249007039,"VEHICLE BREAK-IN/THEFT","cns/segment",65
"","2009-02-24",2009,2,3342,8,2,"18:30:00",18,1,"DRUGS/ALCOHOL VIOLATIONS","1200  Block Cam Del Rio North","SndSAN",15210,"SanSSI","SanMSS",18947,"San007",147442,6,1414,32.7669233437,-117.152891198,"POSSESS MARIJUANA 28.5 GRAMS OR LESS OR W/NO PRIOR","cns/segment",65
"","2010-07-06",2010,7,3839,27,2,"00:13:00",0,1,"DUI","2700  Block Carmel Valley Road","SndSAN",16081,"SanDLM","SanTOR",6597,"San001",147305,9,2236,32.9307470149,-117.245106419,"DUI ALCOHOL AND/OR DRUGS","cns/segment",65
"","2007-06-01",2007,6,2708,22,5,"23:00:00",23,1,"THEFT/LARCENY","300 W  Block G Street","SndSAN",30632,"SanMAR","SanDOW",31759,"San003",147116,1,0,32.7125406666,-117.166045249,"GRAND THEFT/UNSPECIFIED","cns/segment",65
"","2007-10-03",2007,10,2832,40,3,"13:15:00",13,0,"DRUGS/ALCOHOL VIOLATIONS","2200  Block Truxtun Road","SndSAN",101054,"SanIDW","SanPEN",38269,"San002",142456,6,1414,32.734981865,-117.218685357,"POSS CONTROLLED SUBSTANCE FOR SALE","cns/segment",65
"","2010-07-04",2010,7,3837,26,0,"03:00:00",3,1,"DRUGS/ALCOHOL VIOLATIONS","5000  Block Newport Avenue","SndSAN",49077,"SanOCN","SanOCN",12953,"San002",142456,6,1000,32.7472293687,-117.251670997,"DISORDERLY CONDUCT:  ALCOHOL","cns/segment",65
"","2008-06-02",2008,6,3075,22,1,"01:07:00",1,1,"DUI","6600  Block El Cajon Boulevard","SndSAN",26133,"SanROL","SanMID",37348,"San009",145045,6,1000,32.7673137742,-117.056453494,"DUI ALCOHOL AND/OR DRUGS","cns/segment",65
"","2007-07-30",2007,7,2767,31,1,"21:25:00",21,1,"MOTOR VEHICLE THEFT","1600  Block Cam Del Rio North","SndSAN",15208,"SanSSI","SanMSS",18947,"San007",147442,6,1414,32.7675763646,-117.147362294,"TAKE VEHICLE W/O OWNER'S CONSENT/VEHICLE THEFT","cns/segment",65
